Game_Name,Game_Price,Game_Genre,Game_URL
Bouncy Blob,N/A,Platformer,https://nusan.itch.io/bouncy-blob
Rampaging,$2,Action,https://playmedusa.itch.io/rampaging
Under Construction,N/A,Platformer,https://eevee.itch.io/under-construction
Winterwood,N/A,Adventure,https://jusiv.itch.io/winterwood
Sushi Belt,N/A,Simulation,https://munro.itch.io/sushi-belt
Solais (LD46),N/A,Platformer,https://dragonxvi.itch.io/solais-ld46
Dami & Flo,N/A,Puzzle,https://nusan.itch.io/dami-and-flo
Picofender,N/A,Action,https://protonperson.itch.io/picofender
Celeste X,N/A,Platformer,https://meepmoop.itch.io/celestex
Isaac's Descent,N/A,Platformer,https://eevee.itch.io/isaacs-descent
Ma Puzzle,N/A,Puzzle,https://egordorichev.itch.io/ma-puzzle
Valdi: Shadows,$1.99,Puzzle,https://beepyeah.itch.io/valdi-shadows
SWORDFISH,N/A,Action,https://hauntpun.itch.io/swordfish
Metrash,N/A,Shooter,https://st33d.itch.io/metrash
Adelie,N/A,Platformer,https://meepmoop.itch.io/adelie
Munro's Tweetcarts,N/A,N/A,https://munro.itch.io/tweetcarts
Octarine,N/A,Strategy,https://draconis.itch.io/octarine
Thunder Bella the Cloud Chaser,N/A,Action,https://evilpaper.itch.io/thunder-bella-the-cloud-chaser
Lil' Satan's Cake Quest,N/A,Platformer,https://guerragames.itch.io/lilsatancakequest
Picopicotron,N/A,Simulation,https://johanpeitz.itch.io/picopicotron
Trails,$1.99,Puzzle,https://pocketfruit.itch.io/trails
Cat Nap,N/A,N/A,https://molly-cactus.itch.io/cat-nap
Tiny Platformer (Pico-8 Example Code),$1,Platformer,https://2darray.itch.io/tinyplatformer
Dragondell,N/A,Adventure,https://relsqui.itch.io/dragondell
Masked Words,N/A,Visual Novel,https://numachitamanegi.itch.io/masked-words
Spaceman 8,N/A,Action,https://tictactoad.itch.io/spaceman8
Pumpkin Slasher,N/A,Action,https://sixrobin.itch.io/pumpkinslasher
Scrap Kings,N/A,Action,https://9joao6.itch.io/scrap-kings
Little Space Rangers,N/A,Platformer,https://tmirobot.itch.io/little-space-rangers
Mushroom Mountain,$3,Puzzle,https://sabajt.itch.io/mushroom-mountain
Web Pilot,N/A,Action,https://tesselode.itch.io/web-pilot
Celeste Factory,N/A,Platformer,https://wuffmakesgames.itch.io/celeste-factory
MATCH3+CONNECT4,N/A,Strategy,https://seansleblanc.itch.io/match3connect4
They Started It,N/A,Shooter,https://fistfulofsquid.itch.io/they-started-it
Duck Duck on the Loose,N/A,Adventure,https://seansleblanc.itch.io/duck-duck-on-the-loose
NETTY,N/A,Action,https://tesselode.itch.io/netty
Stories at the dawn,N/A,Platformer,https://yellowafterlife.itch.io/stories-at-the-dawn
Marshmallow Infinity,N/A,Platformer,https://pixelshock.itch.io/marshmallowinfinity
why not frog: portals,N/A,Platformer,https://wmgcat.itch.io/why-not-frog-portals
Signed by ’89,N/A,Simulation,https://timknauf.itch.io/signed-by-89
Sub-Uber-Marine,$3,Action,https://extar.itch.io/sub-uber-marine
you are the coin master,N/A,Platformer,https://seansleblanc.itch.io/you-are-the-coin-master
Warwind,$2,Adventure,https://louiechapm.itch.io/warwind
Salagander,N/A,Puzzle,https://mrmandolino.itch.io/salagander
Sarah and the Lonely Key,N/A,Puzzle,https://tesselode.itch.io/lonely-key
Bustin',N/A,Adventure,https://morningtoast.itch.io/ghostbusters-bustin
Messages,N/A,Interactive Fiction,https://jusiv.itch.io/messages
JLIM,N/A,Action,https://egordorichev.itch.io/jlim
Retrocat save the old!,N/A,N/A,https://shinpansen.itch.io/retrocat-save-the-old
Witchbeat (LDJam 41),N/A,Rhythm,https://dragonxvi.itch.io/witchbeat-ldjam-41
Lava Joe,N/A,Platformer,https://paranoidcactus.itch.io/lava-joe
snackzzle,N/A,Puzzle,https://egordorichev.itch.io/snackzzle
King Chill,N/A,Platformer,https://elastiskalinjen.itch.io/king-chill
Vyperspace,N/A,Strategy,https://ilkke.itch.io/vyperspace
BUSHFIRE,N/A,Platformer,https://cubehamster.itch.io/bushfire
Super Mumtaz Bros.,$3,Platformer,https://extar.itch.io/super-mumtaz-brothers
String Quest,N/A,Adventure,https://polymars.itch.io/string-quest
SnakeLike,N/A,Action,https://indutny.itch.io/snakelike
Mushroom Délicieux,N/A,Action,https://trasevol-dog.itch.io/mushroom-dlicieux
Midnight 24,N/A,Role Playing,https://bonevolt.itch.io/midnight-24
Bubble Bobble,N/A,Platformer,https://pahammond.itch.io/bubble-bobble
Spook and Thunder,N/A,N/A,https://maltek.itch.io/spook-and-thunder
Göf,N/A,N/A,https://egordorichev.itch.io/gof
