Game_Name,Game_Price,Game_Genre,Game_URL
Kid Bludd's Treacherous Tower,N/A,Platformer,https://mhughson.itch.io/kid-bludds-treacherous-tower
Crowded Dungeon Crawler,N/A,Puzzle,https://bonevolt.itch.io/crowded-dungeon-crawler
Sushi Belt,N/A,Simulation,https://munro.itch.io/sushi-belt
Pigments,N/A,N/A,https://benjamin-soul.itch.io/pigments
Saxophight,N/A,Action,https://cekent.itch.io/saxophight
skulldude,N/A,Shooter,https://guerragames.itch.io/skulldude
Lemonhunter,N/A,Platformer,https://blizzz.itch.io/lemonhunter
Rampaging,$2,Action,https://playmedusa.itch.io/rampaging
Jack of Spades,N/A,Role Playing,https://bonevolt.itch.io/jackofspades
Masked Words,N/A,Visual Novel,https://numachitamanegi.itch.io/masked-words
Pyramid of Flames,N/A,Platformer,https://paranoidcactus.itch.io/pyramid-of-flames
Talos Descent,N/A,Action,https://mhughson.itch.io/talos-descent
Pongeon,3€,Puzzle,https://elastiskalinjen.itch.io/pongeon
molecules,N/A,Puzzle,https://pocketfruit.itch.io/molecules
Keineged an nor,N/A,Adventure,https://anto80.itch.io/keineged-an-nor
Duck Duck Plays the Blues,N/A,N/A,https://seansleblanc.itch.io/duck-duck-plays-the-blues
INGESTE,N/A,Platformer,https://exult.itch.io/ingeste
Adelie,N/A,Platformer,https://meepmoop.itch.io/adelie
piCOLUMNS,$3,Puzzle,https://extar.itch.io/picolumns
Under Construction,N/A,Platformer,https://eevee.itch.io/under-construction
Marshmallow Infinity,N/A,Platformer,https://pixelshock.itch.io/marshmallowinfinity
Ghost Hunt - Deluxe,N/A,Action,https://shnilsen.itch.io/ghosthunt
Tiny Platformer (Pico-8 Example Code),$1,Platformer,https://2darray.itch.io/tinyplatformer
LOCKEY - Zana's Tale,N/A,Puzzle,https://reineke.itch.io/lockey
SWORDFISH,N/A,Action,https://hauntpun.itch.io/swordfish
Secret Santa,N/A,Platformer,https://liquidream.itch.io/secret-santa
Winterwood,N/A,Adventure,https://jusiv.itch.io/winterwood
Evolings [Game Jam Version],N/A,Strategy,https://soerbgames.itch.io/evolings-gamejam
Octarine,N/A,Strategy,https://draconis.itch.io/octarine
Cat Nap,N/A,N/A,https://molly-cactus.itch.io/cat-nap
Ma Puzzle,N/A,Puzzle,https://egordorichev.itch.io/ma-puzzle
Bouncy Blob,N/A,Platformer,https://nusan.itch.io/bouncy-blob
Solais (LD46),N/A,Platformer,https://dragonxvi.itch.io/solais-ld46
Trails,$1.99,Puzzle,https://pocketfruit.itch.io/trails
Dami & Flo,N/A,Puzzle,https://nusan.itch.io/dami-and-flo
Dragondell,N/A,Adventure,https://relsqui.itch.io/dragondell
Picofender,N/A,Action,https://protonperson.itch.io/picofender
Celeste X,N/A,Platformer,https://meepmoop.itch.io/celestex
Scrap Kings,N/A,Action,https://9joao6.itch.io/scrap-kings
Isaac's Descent,N/A,Platformer,https://eevee.itch.io/isaacs-descent
Valdi: Shadows,$1.99,Puzzle,https://beepyeah.itch.io/valdi-shadows
They Started It,N/A,Shooter,https://fistfulofsquid.itch.io/they-started-it
Metrash,N/A,Shooter,https://st33d.itch.io/metrash
Munro's Tweetcarts,N/A,N/A,https://munro.itch.io/tweetcarts
MATCH3+CONNECT4,N/A,Strategy,https://seansleblanc.itch.io/match3connect4
Witchbeat (LDJam 41),N/A,Rhythm,https://dragonxvi.itch.io/witchbeat-ldjam-41
Thunder Bella the Cloud Chaser,N/A,Action,https://evilpaper.itch.io/thunder-bella-the-cloud-chaser
Sarah and the Lonely Key,N/A,Puzzle,https://tesselode.itch.io/lonely-key
Celeste Factory,N/A,Platformer,https://wuffmakesgames.itch.io/celeste-factory
Duck Duck on the Loose,N/A,Adventure,https://seansleblanc.itch.io/duck-duck-on-the-loose
Lil' Satan's Cake Quest,N/A,Platformer,https://guerragames.itch.io/lilsatancakequest
Picopicotron,N/A,Simulation,https://johanpeitz.itch.io/picopicotron
Pico Pico MicroMix,N/A,Rhythm,https://starsculptor.itch.io/picopicomicromix
Spaceman 8,N/A,Action,https://tictactoad.itch.io/spaceman8
Mushroom Mountain,$3,Puzzle,https://sabajt.itch.io/mushroom-mountain
Pumpkin Slasher,N/A,Action,https://sixrobin.itch.io/pumpkinslasher
Little Space Rangers,N/A,Platformer,https://tmirobot.itch.io/little-space-rangers
Web Pilot,N/A,Action,https://tesselode.itch.io/web-pilot
Lina: Witches Of The Moon,$1.50,Action,https://achie.itch.io/lina-witches-of-the-moon
Super Mumtaz Bros.,$3,Platformer,https://extar.itch.io/super-mumtaz-brothers
Sub-Uber-Marine,$3,Action,https://extar.itch.io/sub-uber-marine
Freezing Knights,N/A,Role Playing,https://tinyevilwizard.itch.io/freezing-knights
String Quest,N/A,Adventure,https://polymars.itch.io/string-quest
NETTY,N/A,Action,https://tesselode.itch.io/netty
Stories at the dawn,N/A,Platformer,https://yellowafterlife.itch.io/stories-at-the-dawn
why not frog: portals,N/A,Platformer,https://wmgcat.itch.io/why-not-frog-portals
Signed by ’89,N/A,Simulation,https://timknauf.itch.io/signed-by-89
Very Normal Shooter,N/A,Shooter,https://sixrobin.itch.io/verynormalshooter
you are the coin master,N/A,Platformer,https://seansleblanc.itch.io/you-are-the-coin-master
Warwind,$2,Adventure,https://louiechapm.itch.io/warwind
Salagander,N/A,Puzzle,https://mrmandolino.itch.io/salagander
Bustin',N/A,Adventure,https://morningtoast.itch.io/ghostbusters-bustin
Messages,N/A,Interactive Fiction,https://jusiv.itch.io/messages
JLIM,N/A,Action,https://egordorichev.itch.io/jlim
Retrocat save the old!,N/A,N/A,https://shinpansen.itch.io/retrocat-save-the-old
Lava Joe,N/A,Platformer,https://paranoidcactus.itch.io/lava-joe
snackzzle,N/A,Puzzle,https://egordorichev.itch.io/snackzzle
King Chill,N/A,Platformer,https://elastiskalinjen.itch.io/king-chill
Vyperspace,N/A,Strategy,https://ilkke.itch.io/vyperspace
BUSHFIRE,N/A,Platformer,https://cubehamster.itch.io/bushfire
IceCream Van,N/A,Action,https://playmedusa.itch.io/icecream-van
SnakeLike,N/A,Action,https://indutny.itch.io/snakelike
Mushroom Délicieux,N/A,Action,https://trasevol-dog.itch.io/mushroom-dlicieux
Midnight 24,N/A,Role Playing,https://bonevolt.itch.io/midnight-24
PixelTown,N/A,N/A,https://nextlevelbanana.itch.io/pixeltown
Bubble Bobble,N/A,Platformer,https://pahammond.itch.io/bubble-bobble
Spook and Thunder,N/A,N/A,https://maltek.itch.io/spook-and-thunder
Göf,N/A,N/A,https://egordorichev.itch.io/gof
Don't Shit Your Pants: PICO-8 Edition,N/A,Adventure,https://princesschoochoo.itch.io/dont-shit-your-pants-pico-8-edition
BEARRL,N/A,Survival,https://zappedcow.itch.io/bearrl
Myrtle Takes The City,N/A,Adventure,https://paloblancogames.itch.io/myrtle-takes-the-city
Toastling,N/A,Platformer,https://rarelikeaunicorn.itch.io/toastling
Ranata the Frog and the Broken Forest,$1,Platformer,https://omael.itch.io/ranata
The Pixel Bro,N/A,Adventure,https://egordorichev.itch.io/pixel-bro
The Lost Strawberry,N/A,Platformer,https://egordorichev.itch.io/lost-strawberry
Station-8,N/A,Platformer,https://klehrik.itch.io/station-8
Picamor,N/A,Action,https://dinoware-games.itch.io/picamor
PicoQuest: Darkness Rising,$1.49,Role Playing,https://ryancavendell.itch.io/picoquest-darkness-rising
#hasicontent,N/A,N/A,https://lu-bu.itch.io/hasicontent
Lowrez dungeon,N/A,Role Playing,https://egordorichev.itch.io/lowrez-dungeon
Moonrace,N/A,N/A,https://benjamin-soul.itch.io/moonrace
Defender for Pico8,N/A,Action,https://hijong-park.itch.io/defender-for-pico8
CIPHER-8,N/A,Puzzle,https://ludokultur.itch.io/cipher-8
WrongKynd,N/A,Action,https://atygeek.itch.io/wrongkynd
Astropocalypse,N/A,Action,https://picoter8.itch.io/astropocalypse
Tiny Sim,N/A,Simulation,https://freds72.itch.io/tiny-sim
BuzzKill,N/A,Shooter,https://morningtoast.itch.io/buzzkill
Ninjoe In The Dragon's Lair,N/A,Platformer,https://pixelshock.itch.io/ninjoe-in-the-dragons-lair
A Dream's Command,N/A,Role Playing,https://jusiv.itch.io/a-dreams-command
Friendly Dungeon,N/A,Survival,https://guerragames.itch.io/friendlydungeon
Terry the Turtle's Big Adventure,N/A,Platformer,https://mush101.itch.io/terry-the-turtles-big-adventure
Alien Harvest,N/A,Adventure,https://morningtoast.itch.io/alien-harvest
Bomber's Run,N/A,Platformer,https://melvinsamuel.itch.io/bombers-run
League of PICO (game jam version),N/A,Action,https://wombart.itch.io/league-of-pico
Super Mega Bread,$1,Platformer,https://jclermont.itch.io/super-mega-bread
SUPER FUNKY BALL!,N/A,Action,https://ctinney94.itch.io/super-funky-ball
Brick Tickler,N/A,Action,https://fistfulofsquid.itch.io/brick-tickler
Sokosoko,N/A,Puzzle,https://juner.itch.io/sokosoko
Rythm is Lava,N/A,Puzzle,https://egordorichev.itch.io/rythm-is-lava
Pico Dino,N/A,Platformer,https://yolwoocle.itch.io/pico-dino
Pinballvania!,N/A,Action,https://guerragames.itch.io/pinballvania
Mini Mortal Kombat,N/A,Action,https://burningout.itch.io/mini-mortal-kombat
Forgotten Hill Pico,N/A,Adventure,https://fm-studio.itch.io/forgotten-hill-pico
TORRE TACTICS,$5,Strategy,https://calixjumio.itch.io/torre
UFO puzzle packing!,N/A,Puzzle,https://zahranworrell.itch.io/ufopp
Worm Nom Nom,N/A,Action,https://tictactoad.itch.io/worm-nom-nom
Picokaiju,N/A,Action,https://spoike.itch.io/picokaiju
Fruit Thieves,N/A,Action,https://egordorichev.itch.io/fruit-thieves
PUTRID S4ND,N/A,Shooter,https://abhimonk.itch.io/putrid-s4nd
Super Disc Box,N/A,Action,https://farbs.itch.io/super-disc-box
OLDEN PEAK,N/A,Action,https://abhimonk.itch.io/olden-peak
TRITRIS ORANGE,N/A,Puzzle,https://frogmen.itch.io/tritris-orange
Don't Dig Up the Dead,N/A,Adventure,https://morningtoast.itch.io/dont-dig-up-the-dead
Return of the SLIMEPIRES!,N/A,Platformer,https://sophieh.itch.io/return-of-the-slimepires
Killager,N/A,Adventure,https://egordorichev.itch.io/killager
Tiny Rogue,$2.99,Role Playing,https://ryancavendell.itch.io/tiny-rogue
Snowball Showdown,N/A,N/A,https://aylanonsense.itch.io/snowball-showdown
The Serpent's Shadow,N/A,Puzzle,https://nusan.itch.io/the-serpents-shadow
Yarn!,N/A,Platformer,https://kevinthompson.itch.io/yarn
Cyclo 8,N/A,Platformer,https://nusan.itch.io/cyclo-8
Tomato Worm,N/A,Puzzle,https://guerragames.itch.io/tomatoworm
Violent Cheese Crusader,N/A,Action,https://jojee.itch.io/violent-cheese-crusader
A Very Warm Fire,N/A,Survival,https://jusiv.itch.io/a-very-warm-fire
Pico Nations,N/A,Strategy,https://martinjw.itch.io/pico-nations
Hyperspace Services,N/A,N/A,https://thecunningfolk.itch.io/hyperspace-services
SPY'S DEMISE,N/A,N/A,https://thattomhall.itch.io/spys-demise
Caterwaul,N/A,Rhythm,https://moult.itch.io/caterwaul
Goblin's Gold,N/A,Strategy,https://playmedusa.itch.io/goblins-gold
Spirit Solstice,N/A,Adventure,https://jusiv.itch.io/spirit-solstice
Pico Piñata,N/A,Action,https://fayer.itch.io/pico-pinata
Minball 552,N/A,Platformer,https://gamedevbrook.itch.io/minball
